City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Bacungan,9.9106,118.7022,28.0,78,20,5.14,PH,1615115256
Airai,-8.9266,125.4092,17.06,100,75,0.28,TL,1615115256
Cidreira,-30.1811,-50.2056,20.7,77,1,1.84,BR,1615115257
Rikitea,-23.1203,-134.9692,26.25,83,100,7.03,PF,1615114975
Barrow,71.2906,-156.7887,-27.0,69,1,4.63,US,1615115101
Taoudenni,22.6783,-3.9836,25.83,19,0,4.83,ML,1615115257
Tilichiki,60.4667,166.1,-26.8,89,100,7.96,RU,1615115257
Hobyo,5.3505,48.5268,28.49,59,1,7.87,SO,1615115257
Atuona,-9.8,-139.0333,26.15,73,14,5.08,PF,1615115258
Umluj,25.0213,37.2685,27.1,41,0,4.75,SA,1615115258
Faya,18.3851,42.4509,26.0,16,0,3.09,SA,1615115258
Puerto Ayora,-0.7393,-90.3518,23.89,99,62,2.2,EC,1615115210
Tura,25.5198,90.2201,27.55,25,7,2.44,IN,1615115258
Upernavik,72.7868,-56.1549,-26.18,85,100,5.39,GL,1615115259
Jamestown,42.097,-79.2353,-12.22,94,1,1.33,US,1615115259
Ahipara,-35.1667,173.1667,17.91,66,31,5.69,NZ,1615115259
Vaini,-21.2,-175.2,27.0,94,75,3.09,TO,1615115259
Ushuaia,-54.8,-68.3,9.0,57,75,4.12,AR,1615115260
Cherskiy,68.75,161.3,-27.13,89,96,3.3,RU,1615115260
Avarua,-21.2078,-159.775,26.0,89,20,1.54,CK,1615115260
Arlit,18.7369,7.3853,35.37,9,100,3.72,NE,1615115260
Jalu,29.0331,21.5482,27.69,15,0,3.93,LY,1615115261
Bluff,-46.6,168.3333,10.56,75,93,4.02,NZ,1615115261
Hasaki,35.7333,140.8333,7.22,65,75,3.6,JP,1615115261
Ixtapa,20.7,-105.2,19.44,88,79,1.03,MX,1615115261
San Fernando,15.0286,120.6898,28.0,57,75,2.06,PH,1615115261
Saint Paul Harbor,57.79,-152.4072,1.0,55,1,9.26,US,1615115262
Constitución,-35.3333,-72.4167,15.04,69,3,2.41,CL,1615115262
Tuktoyaktuk,69.4541,-133.0374,-27.4,89,100,5.84,CA,1615115262
Mataura,-46.1927,168.8643,10.56,75,95,4.02,NZ,1615115263
Hobart,-42.8794,147.3294,16.0,72,75,4.12,AU,1615115166
Río Gallegos,-51.6226,-69.2181,11.0,58,40,8.23,AR,1615115263
Cape Town,-33.9258,18.4232,21.67,94,75,7.2,ZA,1615114968
Cukai,4.25,103.4167,30.0,66,20,3.6,MY,1615115263
Hilo,19.7297,-155.09,20.0,88,90,5.66,US,1615115116
Khatanga,71.9667,102.5,-30.08,86,56,5.21,RU,1615115264
Fairbanks,64.8378,-147.7164,-14.44,92,40,1.17,US,1615115264
Dmitriyevka,54.75,55.3333,-8.0,62,75,3.0,RU,1615115264
Pemba,-12.974,40.5178,28.03,75,78,2.55,MZ,1615115265
Caravelas,-17.7125,-39.2481,27.33,71,62,4.34,BR,1615115265
Saint-Philippe,-21.3585,55.7679,30.0,79,89,8.23,RE,1615115265
Albany,42.6001,-73.9662,-7.22,53,33,2.82,US,1615114991
Khrystynivka,48.8249,29.9681,1.18,86,26,7.78,UA,1615115266
Butaritari,3.0707,172.7902,27.43,78,10,6.04,KI,1615115266
Hithadhoo,-0.6,73.0833,29.38,68,47,4.11,MV,1615115266
Severo-Kuril'sk,50.6789,156.125,-9.72,90,99,12.43,RU,1615115267
Mar del Plata,-38.0023,-57.5575,16.67,100,0,2.57,AR,1615115267
Svirstroy,60.7999,33.7248,-4.55,96,100,4.06,RU,1615115267
Saint George,37.1041,-113.5841,7.0,31,1,2.06,US,1615115267
Mount Isa,-20.7333,139.5,31.0,29,40,2.06,AU,1615115267
Isangel,-19.55,169.2667,24.92,78,83,5.04,VU,1615115268
Amahai,-3.3333,128.9167,26.26,78,66,0.68,ID,1615115268
Mandalgovi,45.7625,106.2708,1.54,72,0,4.68,MN,1615115030
Qaanaaq,77.484,-69.3632,-26.83,64,0,2.12,GL,1615115269
Port Alfred,-33.5906,26.891,24.44,72,68,2.24,ZA,1615115269
Arman',59.7,150.1667,-22.77,79,14,2.66,RU,1615115270
Clyde River,70.4692,-68.5914,-32.0,68,1,1.54,CA,1615114995
Majītha,31.7583,74.9544,23.0,64,75,2.57,IN,1615115270
Lebu,-37.6167,-73.65,14.94,94,23,1.5,CL,1615115270
Hermanus,-34.4187,19.2345,17.78,93,100,1.79,ZA,1615115271
Faanui,-16.4833,-151.75,28.21,68,79,5.38,PF,1615115271
Maragogi,-9.0122,-35.2225,27.84,66,35,2.7,BR,1615115271
Busselton,-33.65,115.3333,22.78,76,36,0.45,AU,1615115271
Broken Hill,-31.95,141.4333,25.0,23,90,2.57,AU,1615115272
Oksbøl,55.6268,8.2876,5.56,81,90,6.69,DK,1615115272
Vanimo,-2.6741,141.3028,26.34,79,100,4.47,PG,1615115272
Mahébourg,-20.4081,57.7,28.0,89,75,8.75,MU,1615115272
Simao,22.7886,100.9748,21.97,23,24,2.08,CN,1615115273
Shekhupura,31.7131,73.9783,24.0,53,75,4.63,PK,1615115273
Dunda,-8.1167,34.25,19.16,95,100,1.05,TZ,1615115273
Porto Velho,-8.7619,-63.9039,24.0,94,75,0.51,BR,1615115273
Moose Factory,51.2585,-80.6094,-27.0,69,1,2.06,CA,1615115273
Burns Lake,54.2331,-125.7533,-10.0,92,71,1.03,CA,1615115273
Vardø,70.3705,31.1107,-4.0,86,75,3.6,NO,1615115274
Labuhan,-6.8844,112.2051,27.24,79,100,5.78,ID,1615115274
San Quintín,30.4833,-115.95,8.89,4,64,2.68,MX,1615115274
Hong Kong,22.2855,114.1577,20.56,86,73,0.45,HK,1615114916
Nikolskoye,59.7035,30.7861,-5.0,63,20,9.0,RU,1615115275
Acaraú,-2.8856,-40.12,26.84,81,100,5.7,BR,1615115275
Cabo San Lucas,22.8909,-109.9124,13.89,67,24,0.45,MX,1615115275
Berdigestyakh,62.0989,126.6992,-18.26,92,92,2.67,RU,1615115275
Ţaga,46.95,24.05,6.11,30,20,3.09,RO,1615115276
Aswān,24.0934,32.907,31.73,10,0,5.84,EG,1615115276
Talnakh,69.4865,88.3972,-20.13,91,99,2.18,RU,1615115232
Thompson,55.7435,-97.8558,2.0,69,75,2.57,CA,1615115040
Lüderitz,-26.6481,15.1594,26.69,38,0,7.44,NA,1615115277
Bandarbeyla,9.4942,50.8122,26.86,63,4,6.42,SO,1615115277
Montero,-17.3333,-63.25,22.0,94,20,1.54,BO,1615115277
Mount Gambier,-37.8333,140.7667,16.0,77,90,2.57,AU,1615115277
Yar-Sale,66.8333,70.8333,-26.19,88,51,3.06,RU,1615115277
Angoche,-16.2325,39.9086,29.44,67,10,4.47,MZ,1615115278
Klyuchi,52.2667,79.1667,-0.82,97,99,3.26,RU,1615115278
East London,-33.0153,27.9116,25.0,61,20,6.17,ZA,1615115278
Akonolinga,3.7667,12.25,35.24,26,98,1.82,CM,1615115278
Monrovia,6.3005,-10.7969,28.0,83,40,1.54,LR,1615115279
Podgorica,42.4411,19.2636,11.0,37,0,2.06,ME,1615115279
Pedernales,18.0384,-71.744,23.96,70,3,2.28,DO,1615115279
Sept-Îles,50.2001,-66.3821,-7.0,63,40,5.66,CA,1615115279
Ābdānān,32.9926,47.4198,18.29,27,0,1.13,IR,1615115280
Punta Arenas,-53.15,-70.9167,8.0,66,75,6.17,CL,1615115280
Kysyl-Syr,63.8986,122.7617,-17.48,93,100,3.44,RU,1615115280
New Norfolk,-42.7826,147.0587,16.0,72,75,4.12,AU,1615115281
Bonfim,3.0833,-59.95,25.12,75,97,3.82,BR,1615115281
George Town,5.4112,100.3354,30.0,74,40,4.12,MY,1615115244
Caucayá,-0.1934,-74.7819,20.79,98,96,0.66,CO,1615115281
Bethel,41.3712,-73.414,-4.0,54,90,1.06,US,1615115282
Vila Velha,-20.3297,-40.2925,28.89,88,75,2.57,BR,1615115282
Caçador,-26.7753,-51.015,18.79,85,62,1.96,BR,1615115282
Port Hardy,50.6996,-127.4199,5.0,93,90,2.06,CA,1615115282
Mossamedes,-15.1961,12.1522,29.0,58,0,5.66,AO,1615115283
Novobirilyussy,56.9514,90.6661,-6.71,93,49,4.49,RU,1615115283
Kānkon,15.0167,74.0167,30.0,70,20,4.63,IN,1615115283
York,40.1254,-77.0,-5.0,63,1,1.54,US,1615115283
Killarney,52.05,-9.5167,7.0,70,90,3.6,IE,1615115284
Makakilo City,21.3469,-158.0858,22.78,73,1,1.54,US,1615115019
Sabha,27.0377,14.4283,29.05,13,0,3.43,LY,1615115284
Tūkrah,32.5341,20.5791,19.68,59,21,7.28,LY,1615115284
Castro,-24.7911,-50.0119,17.54,95,66,1.9,BR,1615115285
Kapaa,22.0752,-159.319,19.44,94,90,6.17,US,1615115285
Longyearbyen,78.2186,15.6401,-18.0,71,40,7.2,SJ,1615115285
Burnie,-41.0667,145.9167,15.56,89,100,0.45,AU,1615115286
Mae Sot,16.7167,98.5667,36.0,19,20,3.09,TH,1615115286
Tual,-5.6667,132.75,28.37,75,38,5.9,ID,1615115286
Geraldton,-28.7667,114.6,26.0,69,0,7.72,AU,1615115286
Muros,42.7762,-9.0603,11.67,62,4,6.26,ES,1615115286
Ribeira Grande,38.5167,-28.7,16.0,100,40,7.72,PT,1615115287
Askino,56.0901,56.5783,-10.78,93,100,2.83,RU,1615115287
Henties Bay,-22.116,14.2845,21.11,79,31,3.13,NA,1615115287
Kruisfontein,-34.0033,24.7314,25.28,46,0,6.68,ZA,1615115287
Pierre,44.3683,-100.351,9.0,46,1,5.66,US,1615115193
Bengkulu,-3.8004,102.2655,25.61,74,100,1.14,ID,1615115288
Port Elizabeth,-33.918,25.5701,25.0,53,0,7.72,ZA,1615115288
Moerai,-22.4333,-151.3333,26.19,75,100,7.9,PF,1615115289
Departamento de Maldonado,-34.6667,-54.9167,20.56,94,20,1.03,UY,1615115279
Lyubim,58.3625,40.6843,-4.93,97,100,6.18,RU,1615115289
Westport,41.1415,-73.3579,-2.78,50,90,2.06,US,1615114999
Kamaishi,39.2667,141.8833,1.0,51,20,2.06,JP,1615115289
Pontes e Lacerda,-15.2261,-59.3353,22.24,96,50,0.35,BR,1615115289
Muroto-misakicho,33.2833,134.15,14.0,67,90,1.54,JP,1615115290
Kaitangata,-46.2817,169.8464,9.44,73,86,6.71,NZ,1615115290
Dikson,73.5069,80.5464,-27.72,88,100,5.6,RU,1615115290
Viedma,-40.8135,-62.9967,23.24,51,3,3.25,AR,1615115291
Encruzilhada do Sul,-30.5439,-52.5219,17.18,90,1,1.36,BR,1615115291
Kavieng,-2.5744,150.7967,27.03,77,100,0.96,PG,1615115291
Ostrovnoy,68.0531,39.5131,-15.8,92,92,5.05,RU,1615115291
Tiksi,71.6872,128.8694,-25.82,85,100,3.93,RU,1615115292
Tasiilaq,65.6145,-37.6368,0.0,93,90,10.29,GL,1615114992
Leningradskiy,69.3833,178.4167,-31.33,73,0,1.3,RU,1615115292
Samfya,-11.3649,29.5565,25.38,75,87,1.07,ZM,1615115292
Grajaú,-5.8194,-46.1386,24.58,90,85,1.22,BR,1615115283
Bakel,14.905,-12.4568,34.43,10,73,5.61,SN,1615115293
Griffith,41.5284,-87.4237,-5.0,100,1,1.91,US,1615115293
Krasne,49.9145,24.6134,2.0,55,0,7.0,UA,1615115293
Okhotsk,59.3833,143.3,-24.81,81,0,5.15,RU,1615115294
Zeya,53.75,127.2667,-18.57,91,93,0.71,RU,1615115294
Kauhajoki,62.4333,22.1833,-5.0,86,90,7.72,FI,1615115294
Richards Bay,-28.783,32.0377,27.29,68,74,4.2,ZA,1615115294
Kropotkin,45.4375,40.5756,3.04,65,0,2.44,RU,1615115295
Camacha,33.0833,-16.3333,18.0,59,75,5.66,PT,1615115295
Berlevåg,70.8578,29.0864,-3.8,94,99,2.67,NO,1615115295
Yellowknife,62.456,-114.3525,-15.0,92,75,3.6,CA,1615115296
Pando,-34.7167,-55.95,17.0,88,0,1.54,UY,1615115259
Ponta do Sol,32.6667,-17.1,17.22,61,22,1.34,PT,1615115296
Provideniya,64.3833,-173.3,-13.04,93,100,5.18,RU,1615115296
Tigzirt,36.8886,4.1198,18.0,62,56,0.87,DZ,1615115296
Yanam,16.7333,82.2167,34.0,40,0,4.63,IN,1615115297
Luanda,-8.8368,13.2343,31.0,51,40,3.6,AO,1615115297
Bredasdorp,-34.5322,20.0403,19.0,94,100,4.63,ZA,1615115297
Pamyat' Parizhskoy Kommuny,56.1048,44.4952,-5.0,68,75,7.0,RU,1615115298
Grindavik,63.8424,-22.4338,4.0,87,75,1.03,IS,1615115298
Port Hedland,-20.3167,118.5667,29.0,74,0,6.17,AU,1615115293
Guarapari,-20.6667,-40.4975,28.89,88,75,2.57,BR,1615115298
Dombarovskiy,50.7587,59.5386,-2.02,99,100,6.61,RU,1615115299
Zhigansk,66.7697,123.3711,-24.07,90,100,5.5,RU,1615115299
Hīt,33.6416,42.8251,23.07,20,0,2.75,IQ,1615115299
Saint Paul,44.9444,-93.0933,2.22,60,1,6.17,US,1615115299
Ancud,-41.8697,-73.8203,14.44,100,90,4.12,CL,1615115299
Kroya,-7.6331,109.2461,26.67,81,81,1.94,ID,1615115300
Evensk,61.95,159.2333,-30.18,74,0,3.5,RU,1615115300
Margate,51.3813,1.3862,5.0,54,97,2.24,GB,1615115300
Kalmunai,7.4167,81.8167,28.28,78,47,4.98,LK,1615115300
Chokurdakh,70.6333,147.9167,-25.6,89,96,4.45,RU,1615115301
Doka,13.5167,35.7667,39.93,9,42,3.73,SD,1615115301
Antofagasta,-23.65,-70.4,18.0,82,0,1.03,CL,1615115301
Koróni,36.8,21.95,18.0,59,40,5.14,GR,1615115301
